ActivityType;StartTime;EndTime;AltitudeAvg;AltitudeMin;AltitudeMax;Ascent;Descent;Distance;Duration;HrAvg;HrMin;HrMax;Calories;SpeedAvg;SpeedMax;CadenceAvg;CadenceMax
Other;2020-06-20 15:32:47+00:00;2020-06-20 16:46:30+00:00;82.7721507426068;57.599998474121094;93.80000305175781;405.3998565673828;403.19985580444336;21004.71;4423.0;159.9118843199277;74;None;973;17.096304770517747;None;None;None
Biking;2020-06-23 16:19:17+00:00;2020-06-23 18:16:23+00:00;122.14852194382156;92.5999984741211;151.1999969482422;736.0001831054688;738.6001739501953;47763.88;7026.0;146.90989198408187;74;None;1245;24.473380017079418;None;None;None
Running;2020-06-23 19:10:06+00:00;2020-06-23 19:57:19+00:00;130.61947474676126;122.80000305175781;138.1999969482422;24.40003204345703;24.40003204345703;4876.5599999999995;2833.0;126.7247191011236;69;None;413;6.196828803388634;None;None;None
Biking;2020-06-24 15:32:26+00:00;2020-06-24 16:00:52+00:00;122.14122165068416;113.19999694824219;136.39999389648438;47.999977111816406;52.5999755859375;9360.86;1706.0;112.54663774403471;81;None;232;19.753280187573274;None;None;None
Biking;2020-06-24 18:08:17+00:00;2020-06-24 18:23:11+00:00;124.89068326298495;106.5999984741211;135.1999969482422;35.600006103515625;42.80000305175781;6334.37;894.0;119.40993788819875;83;None;136;25.50753020134228;None;None;None
Biking;2020-06-25 11:35:59+00:00;2020-06-25 12:32:52+00:00;107.13255131069866;72.19999694824219;136.39999389648438;104.9999771118164;134.39997100830078;19130.13;3413.0;133.33299389002036;82;None;571;20.178279519484324;None;None;None
Biking;2020-06-25 14:57:20+00:00;2020-06-25 16:01:19+00:00;105.49923405881788;79.0;128.39999389648438;91.60002136230469;64.8000259399414;10767.65;3839.0;117.39606126914661;75;None;444;10.097301380567856;None;None;None
Biking;2020-06-25 16:32:56+00:00;2020-06-25 16:52:13+00:00;125.01650011062623;106.4000015258789;135.1999969482422;42.59999084472656;43.399986267089844;7472.6900000000005;1157.0;141.87948717948717;108;None;239;23.251239412273122;None;None;None
Running;2020-06-26 18:04:39+00:00;2020-06-26 19:17:56+00:00;139.30612537432495;132.8000030517578;158.8000030517578;259.0001983642578;258.80018615722656;10279.94;4397.0;138.93708834885305;83;None;711;8.416598589947693;None;None;None
Biking;2020-06-27 13:24:21+00:00;2020-06-27 13:55:20+00:00;122.64921467300069;108.0;136.39999389648438;60.79998016357422;67.59998321533203;10368.98;1859.0;109.83636363636364;74;None;227;20.07978913394298;None;None;None
Biking;2020-06-27 15:39:51+00:00;2020-06-27 16:56:45+00:00;97.85683458177306;72.19999694824219;135.1999969482422;163.00000762939453;154.20000457763672;22604.75;4614.0;117.97815003641661;76;None;546;17.63699609882965;None;None;None
Other;2020-06-28 11:59:58+00:00;2020-06-28 13:03:09+00:00;127.34922310299456;114.0;142.0;383.20018005371094;378.20018005371094;16787.96;3791.0;156.46036344482485;104;None;784;15.942140859931417;None;None;None
